Fichier,Type,Catégorie,Labels
README.md,Générale,"",""
CHANGELOG.md,Générale,"",""
CODE-SOURCE.md,Générale,"",""
DOCUMENTATION_INDEX.md,Générale,"",""
DOCUMENTATION_EQUIPE_MAINTENANCE_NEXTGENERATION.md,Générale,"",""
DOCKER_INSTALLATION_GUIDE.md,Générale,"",""
GUIDE_API_ORCHESTRATEUR.md,Générale,"",""
GUIDE_COMPLET_NEXTGENERATION.md,Générale,"",""
GUIDE_FINAL_CONFIGURATION.md,Générale,"",""
GUIDE_INSTALLATION_SYNTHESE_AUTO_UPDATE.md,Générale,"",""
GUIDE_UTILISATION_NEXTGENERATION.md,Générale,"",""
QUICKSTART.md,Générale,"",""
SECURITY.md,Générale,"",""
AGENTS_SPECIALISES_NEXTGENERATION.md,Générale,"",""
ANALYSE_MODELES_ACTUELS.md,Générale,"",""
SYNTHESE_EXECUTIVE.md,Générale,"",""
AGENT_META_STRATEGIQUE_DRAFT_CHANGES.md,Spécifique,Planification & Stratégie,"plan, stratégie, meta-agent"
PLAN_ACTION_POST_EXPERT_FEEDBACK.md,Spécifique,Planification & Stratégie,"plan, feedback"
PLAN_IMPLEMENTATION_DETAILLE.md,Spécifique,Planification & Stratégie,"plan, implémentation"
PLAN_STRATEGIQUE_INTEGRATION_COMPLETE_EQUIPE_TOP.md,Spécifique,Planification & Stratégie,"plan, stratégie, intégration"
SYNTHESE_AGENT_META_STRATEGIQUE.md,Spécifique,Planification & Stratégie,"synthèse, stratégie, meta-agent"
ANALYSE_RETOURS_EXPERTS_TASKMASTER.md,Spécifique,Rapports & Retours d'Experts,"analyse, feedback, taskmaster"
EXPERT_FEEDBACK_CHATGPT_REFERENCE.md,Spécifique,Rapports & Retours d'Experts,"feedback, expert, chatgpt"
EXPERT_FEEDBACK_CLAUDE_REFERENCE.md,Spécifique,Rapports & Retours d'Experts,"feedback, expert, claude"
EXPERT_FEEDBACK_GEMINI_REFERENCE.md,Spécifique,Rapports & Retours d'Experts,"feedback, expert, gemini"
RAPPORT_FINAL_MISSION_TOOLS_NEXTGENERATION.md,Spécifique,Rapports & Retours d'Experts,"rapport, mission, tools"
RAPPORT_FINAL_VALIDATION_PLAN_TRAVAIL.md,Spécifique,Rapports & Retours d'Experts,"rapport, validation, plan"
RAPPORT_MISSION_CHEF_EQUIPE.md,Spécifique,Rapports & Retours d'Experts,"rapport, mission, chef-equipe"
RAPPORT_MISSION_IMPORT_OUTILS_SUPERWHISPER.md,Spécifique,Rapports & Retours d'Experts,"rapport, mission, superwhisper"
RESUME_DIAGNOSTIC_POSTGRESQL.md,Spécifique,Rapports & Retours d'Experts,"rapport, diagnostic, postgresql"
RESUME_TEST_EQUIPE_POSTGRESQL.md,Spécifique,Rapports & Retours d'Experts,"rapport, test, postgresql"
FICHIERS_REFONTE_NEXTGENERATION.md,Spécifique,Migration & Refonte,"refonte, migration"
MIGRATION_LOGGING_TRACKING.md,Spécifique,Migration & Refonte,"migration, logging, tracking"
migration_prompt.md,Spécifique,Migration & Refonte,"migration, prompt"
migration_tracking.md,Spécifique,Migration & Refonte,"migration, tracking"
PROMPT_MIGRATION_LOGGING.md,Spécifique,Migration & Refonte,"migration, prompt, logging"
PROMPT_TRANSPOSITION_SUPERWHISPER_NEXTGENERATION.md,Spécifique,Migration & Refonte,"migration, prompt, superwhisper"
GUIDE_FOURNISSEURS_MODELES_ORCHESTRATEUR.md,Spécifique,Guides Techniques & Fournisseurs,"guide, fournisseurs, orchestrateur"
GUIDE_RESOLUTION_POSTGRESQL_UTF8.md,Spécifique,Guides Techniques & Fournisseurs,"guide, postgresql, utf8"
MISE_A_JOUR_DOCUMENTATION_FOURNISSEURS.md,Spécifique,Guides Techniques & Fournisseurs,"documentation, fournisseurs"
VALIDATION_FINALE_TOOLS_DEPLOYMENT.md,Spécifique,Guides Techniques & Fournisseurs,"validation, tools, deployment"
PROMPT_CONTINUATION_SPRINT_4_5.md,Spécifique,Prompts & Sprints,"prompt, sprint"
PROMPT_PARFAIT_AGENT_FACTORY_IMPLEMENTATION.md,Spécifique,Prompts & Sprints,"prompt, agent-factory"
PROMPT_PARFAIT_IMPLEMENTATION_AGENT_FACTORY.md,Spécifique,Prompts & Sprints,"prompt, agent-factory"
SPRINT3_COMPLETION_SUMMARY.md,Spécifique,Prompts & Sprints,"sprint, rapport"
SYNTHESE_FINALE_AGENT_FACTORY_PATTERN.md,Spécifique,Synthèses Finales,"synthèse, agent-factory"
SYNTHESE_FINALE_MISSION_ELEMENTS_2_3.md,Spécifique,Synthèses Finales,"synthèse, mission, rapport" 